,compound,Target,agl_thermal_expansion_300K,mean_EffectiveCoordination,mean_BondLengthVariation,mean_WCMagnitude_Shell1,mean_WCMagnitude_Shell2,mean_WCMagnitude_Shell3,MaxPackingEfficiency,mean_NeighDiff_shell1_Number,mean_NeighDiff_shell1_MendeleevNumber,mean_NeighDiff_shell1_AtomicWeight,mean_NeighDiff_shell1_MeltingT,mean_NeighDiff_shell1_Column,mean_NeighDiff_shell1_Row,mean_NeighDiff_shell1_CovalentRadius,mean_NeighDiff_shell1_Electronegativity,mean_NeighDiff_shell1_NsValence,mean_NeighDiff_shell1_NpValence,mean_NeighDiff_shell1_NdValence,mean_NeighDiff_shell1_NfValence,mean_NeighDiff_shell1_NValance,mean_NeighDiff_shell1_NsUnfilled,mean_NeighDiff_shell1_NpUnfilled,mean_NeighDiff_shell1_NdUnfilled,mean_NeighDiff_shell1_NfUnfilled,mean_NeighDiff_shell1_NUnfilled,mean_NeighDiff_shell1_GSvolume_pa,mean_NeighDiff_shell1_GSbandgap,mean_NeighDiff_shell1_GSmagmom,mean_NeighDiff_shell1_SpaceGroupNumber,mean_Number,mean_MendeleevNumber,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_AtomicWeight,mean_MeltingT,mean_Column,mean_Row,mean_CovalentRadius,mean_Electronegativity,mean_NsValence,mean_NpValence,mean_NdValence,mean_NfValence,mean_NValance,mean_NsUnfilled,mean_NpUnfilled,mean_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,mean_GSvolume_pa,mean_GSbandgap,mean_GSmagmom,mean_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar
0,Mn2Sc4Se8,0.515,5.15e-05,6.941945181,0.133374034,0.686165176,0.437097074,0.192448581,0.371804988,9.376091277,51.55455076,24.65797903,982.7777094,9.376091277,0.0,31.7428607,0.90699502,0.0,3.225367228,6.15072405,0.0,9.376091277,0.0,1.612683614,6.15072405,0.0,4.538040436,6.220563868,0.644267104,8.91e-05,151.5030505,29.0,61.42857143,0.654653671,0.597048457,0.575065028,0.572069151,0.571484405,65.81283843,1017.571429,11.0,4.0,137.0,2.067142857,2.0,2.285714286,6.714285714,0.0,11.0,0.0,1.142857143,3.285714286,0.0,4.428571429,22.66251232,0.456571429,4.61e-05,94.42857143,0.181818182,0.207792208,0.61038961,0.0,1.0,0.298142579,0.134200257
1,Ge1Ni2Zn1,0.621,6.21e-05,11.95692194,0.051981525,0.551981525,0.253855585,0.137553494,0.680174762,2.551981525,11.2079261,8.818739831,660.2368278,2.551981525,0.0,2.551981525,0.18,0.0,1.0,1.551981525,0.0,2.551981525,0.0,2.0,1.551981525,0.0,2.0,7.347106375,0.1915,0.462020787,15.5,29.5,67.5,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,63.8517,1340.02,11.5,4.0,122.5,1.87,2.0,0.5,9.0,0.0,11.5,0.0,1.0,1.0,0.0,2.0,14.40125,0.09575,0.29769735,217.25,0.173913043,0.043478261,0.782608696,0.0,0.0,0.031880743,0.008798811
2,La6Ru8Sn26,0.469,4.69e-05,11.55887457,0.075204774,0.374265971,0.12889024,0.092461751,0.509926821,4.422263817,27.17297708,12.88102662,918.389758,4.99243084,0.313184944,23.10187208,0.35853782,0.371661535,1.142168706,3.592362725,0.0,4.99243084,0.371661535,2.284337412,3.592362725,0.0,1.565924722,8.480987456,0.0,0.0,30.26747071,49.85,65.15,0.696419414,0.658853227,0.650443008,0.650027478,0.650000522,118.2113205,1028.652,11.15,5.15,150.6,1.879,1.8,1.3,8.05,0.0,11.15,0.2,2.6,1.95,0.0,4.75,29.871875,0.0,0.0,159.55,0.161434978,0.116591928,0.721973094,0.0,0.0,0.261031512,0.05229752
3,Ga1Pd2Sc1,0.498,4.98e-05,11.95692194,0.051981525,0.551981525,0.253855585,0.137553494,0.680174762,16.63986143,31.5,40.860077,766.4476702,5.0,0.775990762,24.0,0.527636397,1.551981525,0.5,4.5,0.0,5.0,0.0,2.5,4.5,0.0,5.879953811,5.139968915,0.0,3.17e-06,89.05571363,36.0,52.25,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,81.879728,1443.2525,9.0,4.5,142.5,1.8925,1.0,0.25,7.75,0.0,9.0,0.0,1.25,2.25,0.0,3.5,17.478125,0.0,1.59e-06,177.0,0.111111111,0.027777778,0.861111111,0.0,0.0,0.161717397,0.055927744
4,Ag2I2,1.49012,0.000149012,9.035539162,0.149710132,0.214247718,0.069902743,0.05554098,0.388003796,3.642743154,18.82083963,11.5573737,514.8896023,3.642743154,0.0,3.642743154,0.443200417,0.607123859,3.035619295,0.0,0.0,3.642743154,0.607123859,0.607123859,0.0,0.0,0.0,16.20110018,0.644765538,0.0,97.74694129,50.0,80.5,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,117.386335,810.89,14.0,5.0,142.0,2.295,1.5,2.5,10.0,0.0,14.0,0.5,0.5,0.0,0.0,1.0,29.6725,0.531,0.0,144.5,0.107142857,0.178571429,0.714285714,0.0,1.0,0.124731865,0.062365933
5,As4Co2,0.485,4.85e-05,8.447101084,0.109787711,0.304141731,0.075481169,0.072576127,0.445401324,3.477711282,15.07008222,9.267176075,392.9813749,3.477711282,0.0,4.057329829,0.173885564,0.0,1.738855641,1.738855641,0.0,3.477711282,0.0,1.738855641,1.738855641,0.0,0.0,6.914849266,0.0,0.897522627,16.22931932,31.0,75.33333333,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,69.59213167,1316.0,13.0,4.0,121.3333333,2.08,2.0,2.0,9.0,0.0,13.0,0.0,2.0,1.0,0.0,3.0,18.19833333,0.0,0.516157067,175.3333333,0.153846154,0.153846154,0.692307692,0.0,0.0,0.022248763,0.009888339
6,Cu4Ni1Yb1,0.807,8.07e-05,13.12393,0.057704589,0.320898451,0.083117881,0.074365731,0.660152854,14.59778835,9.234488315,39.74714704,220.9265452,2.9623045,0.695149633,21.89438194,0.225920091,0.529280784,0.0,3.8391601,4.866047431,2.085094962,0.529280784,0.0,0.694441759,0.0,0.694795696,8.272015179,0.0,0.206733471,0.0,35.66666667,59.33333333,0.707106781,0.673540003,0.66692688,0.666678292,0.666666794,80.98856667,1375.18,9.5,4.333333333,139.8333333,1.795,1.333333333,0.0,8.0,2.333333333,11.66666667,0.666666667,0.0,0.333333333,0.0,1.0,14.78666667,0.0,0.09923245,225.0,0.114285714,0.0,0.685714286,0.2,0.0,0.100238004,0.027203575
7,Pt10Se8,0.4,4e-05,7.299063636,0.099308893,0.325127292,0.082921395,0.039323775,0.409817297,28.76773494,16.9991161,75.92328301,1011.708933,3.922872947,1.307624316,10.46099452,0.176529283,0.653812158,2.615248631,0.653812158,9.153370209,5.230497262,0.653812158,1.307624316,0.653812158,0.0,0.0,7.12655252,0.522395914,0.0,137.9543653,58.44444444,74.55555556,0.711458249,0.637643728,0.587957829,0.570872827,0.56125075,143.4733333,1353.666667,12.66666667,5.111111111,128.8888889,2.4,1.444444444,1.777777778,9.444444444,7.777777778,20.44444444,0.555555556,0.888888889,0.555555556,0.0,2.0,19.86444444,0.355111111,0.0,131.2222222,0.070652174,0.086956522,0.461956522,0.380434783,0.0,0.018059929,0.008918483
8,Cr4La4S12,0.468,4.68e-05,9.470726078,0.083075196,0.652503807,0.289640022,0.148198809,0.437926177,18.87707087,43.35542635,48.85943207,974.3299358,8.688320563,1.531410635,52.0679616,0.91001509,0.374180294,3.007625699,2.248627601,0.0,1.169256316,0.374180294,1.503812849,5.318540545,0.0,4.176882015,9.792252465,1.655697947,0.0,106.332707,25.8,65.2,0.663324958,0.614463365,0.600984419,0.600078355,0.600002032,57.419314,907.616,11.4,3.8,132.2,2.1,1.8,2.4,1.2,0.0,5.4,0.2,1.2,2.8,0.0,4.2,25.089625,1.3212,0.0,126.6,0.333333333,0.444444444,0.222222222,0.0,1.0,0.421663847,0.153002559
9,La8N4S6,0.394,3.94e-05,8.09818645,0.12218035,0.663197778,0.42933834,0.265189147,0.38780945,37.90619459,61.19173822,96.58735083,804.313018,10.61631405,2.912316263,99.01875294,1.423203683,0.0,3.097875899,0.835382016,0.0,2.262493883,0.0,2.076934247,7.518438146,0.0,5.604021948,13.75685051,3.559642057,0.0,73.37450147,32.22222222,53.33333333,0.598351645,0.514007223,0.466100234,0.452915579,0.446927314,75.53669778,673.6866667,10.0,4.111111111,142.7777778,2.024444444,2.0,2.0,0.444444444,0.0,4.444444444,0.0,1.333333333,4.0,0.0,5.333333333,28.27645833,2.164444444,0.0,152.6666667,0.45,0.45,0.1,0.0,1.0,0.609723572,0.253010015
10,Cs3In9,1.94347,0.000194347,10.68174525,0.123298037,0.118398576,0.15738738,0.138311093,0.513305473,2.438835984,28.45308648,7.35205476,52.09353662,4.877671969,0.406472664,41.46021173,0.402407937,0.406472664,0.406472664,4.064726641,0.0,4.877671969,0.406472664,2.03236332,0.0,0.0,1.625890656,37.19428112,0.0,0.0,36.58253976,50.5,57.5,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,119.339863,397.71,10.0,5.25,167.5,1.5325,1.75,0.75,7.5,0.0,10.0,0.25,3.75,0.0,0.0,4.0,47.13625,0.0,0.0,161.5,0.175,0.075,0.75,0.0,0.0,0.217315029,0.081493136
11,Re4S4Te4,0.307,3.07e-05,10.47838752,0.121714801,0.174811848,0.166723937,0.121008231,0.385255949,28.63058378,18.15328203,74.74649901,1545.199673,4.564048325,1.449722299,22.14551025,0.327648693,0.0,2.028465922,4.634818775,7.099630727,7.248611495,0.0,1.014232961,2.535582403,0.0,1.521349442,9.735377868,1.054426503,0.0,59.94573074,47.66666667,77.33333333,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,115.2906667,1523.34,13.0,4.666666667,131.3333333,2.193333333,2.0,2.666666667,5.0,4.666666667,14.33333333,0.0,1.333333333,1.666666667,0.0,3.0,25.06840278,0.888666667,0.0,138.6666667,0.139534884,0.186046512,0.348837209,0.325581395,1.0,0.109168515,0.038909155
12,Cu4Sb4Se8,0.664,6.64e-05,6.729735079,0.159068677,0.689607494,0.415882466,0.263829468,0.32816876,9.627685074,13.24445876,25.56658242,559.4561565,2.723897798,0.428165736,13.13480512,0.4928679,0.469773513,2.254124285,0.0,0.0,2.723897798,0.469773513,1.367712761,0.0,0.0,0.897939249,9.390991415,0.674998194,0.0,156.1268068,37.0,81.75,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,85.8065,812.3875,14.5,4.25,127.75,2.2625,1.75,2.75,10.0,0.0,14.5,0.25,1.75,0.0,0.0,2.0,23.6175,0.3995,0.0,104.75,0.120689655,0.189655172,0.689655172,0.0,1.0,0.100238004,0.040907387
13,Ag1Zr2,0.389,3.89e-05,11.94922181,0.025675891,0.121780781,0.072215352,0.01326477,0.696572535,3.489984652,10.46995396,8.298286078,445.2572276,3.489984652,0.0,14.95707708,0.299141542,0.498569236,0.0,3.988553888,0.0,3.489984652,0.498569236,0.0,3.988553888,0.0,3.489984652,3.422677805,0.0,0.0,15.45564632,42.33333333,51.0,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,96.77206667,1830.31,6.333333333,5.0,165.0,1.53,1.666666667,0.0,4.666666667,0.0,6.333333333,0.333333333,0.0,5.333333333,0.0,5.666666667,20.90666667,0.0,0.0,204.3333333,0.263157895,0.0,0.736842105,0.0,0.0,0.086068815,0.038252807
14,Nb2P2,0.277,2.77e-05,9.51079411,0.117228602,0.574499157,0.265149295,0.134821807,0.498022225,20.46848904,28.34098483,48.75642742,1915.14205,7.872495786,1.574499157,44.87322598,0.464477251,0.787249579,2.361748736,3.148998314,0.0,0.0,0.787249579,2.361748736,4.723497472,0.0,3.148998314,3.45621309,1.279280565,0.0,178.7056543,28.0,65.0,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,61.940071,1533.65,10.0,4.0,135.5,1.895,1.5,1.5,2.0,0.0,5.0,0.5,1.5,3.0,0.0,5.0,20.37511905,0.8125,0.0,115.5,0.3,0.3,0.4,0.0,1.0,0.083345821,0.041672911
15,Ca1S1,0.585,5.85e-05,6.0,0.0,1.0,1.0,1.0,0.523598776,4.0,81.0,8.013,726.64,14.0,1.0,71.0,1.58,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,11.983125,2.202,0.0,155.0,18.0,47.5,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,36.0715,751.68,9.0,3.5,140.5,1.79,2.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,31.7784375,1.101,0.0,147.5,0.5,0.5,0.0,0.0,1.0,0.464256619,0.23212831
16,Ca4Ge4Ni6,0.53,5.3e-05,11.57194711,0.102776625,0.388045925,0.150245476,0.122237534,0.49174692,6.268045161,37.25746798,17.1891561,342.2461997,6.268045161,0.0,28.393359,0.513723239,0.0,1.122630413,5.145414748,0.0,6.268045161,0.0,2.245260826,1.137327326,0.0,2.128326497,14.63804991,0.214983724,0.338579331,0.0,26.85714286,50.71428571,0.589015089,0.500485437,0.449086123,0.435402609,0.430035143,57.35945714,1405.257143,8.857142857,4.0,137.7142857,1.678571429,2.0,0.571428571,6.285714286,0.0,8.857142857,0.0,1.142857143,0.857142857,0.0,2.0,21.78714286,0.109428571,0.255169157,225.0,0.225806452,0.064516129,0.709677419,0.0,0.0,0.225102875,0.083159054
